time(ps),viscosity(Pa.s)
0.0,0.0004092226790801502
100.0,0.041794338719809566
200.0,0.03702790429279607
300.0,0.015962760073440756
400.0,0.01183436614549032
500.0,0.015939804944017023
600.0,0.02275364462584457
700.0,0.020154285777594427
800.0,0.01813877456435465
900.0,0.012783951217520514
1000.0,0.014517414679444635
1100.0,0.015228922923486658
1200.0,0.01709411009945569
1300.0,0.017405862297536826
1400.0,0.017585203652153193
1500.0,0.01965745193593444
1600.0,0.02334613131986549
1700.0,0.025867927977735888
1800.0,0.02317627545871124
1900.0,0.024201314225247697
