Material,ForceField,Temperature (K),Einstein Viscosity (mPa.s),Green-Kubo Viscosity (mPa.s),Experimental
1-cyclohexyl-2-cyclohexylmethyl-heptadecane,LOPLS,313,20.87,28.77,24.30
1-cyclohexyl-2-cyclohexylmethyl-heptadecane,LOPLS,373,4.05,4.95,4.23
1-methyl_Napthalene,LOPLS,313,2.53,2.73,2.43
1-methyl_Napthalene,LOPLS,373,0.74,0.89,0.8
13-Phenylpentacosane,LOPLS,313,10.83,14.51,17.63
13-Phenylpentacosane,LOPLS,373,2.68,3.12,3.63
13-Cyclohexylpentacosane,LOPLS,313,10.46,13.91,18.99
13-Cyclohexylpentacosane,LOPLS,373,2.58,3.23,3.74
DCMP,LOPLS,313,29.83,34.79,30.8
DCMP,LOPLS,373,3.86,4.62,5
1-cyclohexyl-2-cyclohexylmethyl-heptadecane,COMPASS,313,17.29,19.1,24.30
1-cyclohexyl-2-cyclohexylmethyl-heptadecane,COMPASS,373,3.45,3.64,4.23
1-methyl_Napthalene,COMPASS,313,1.34,1.26,2.43
1-methyl_Napthalene,COMPASS,373,0.8,0.82,0.8
13-Phenylpentacosane,COMPASS,313,10.12,14.16,17.63
13-Phenylpentacosane,COMPASS,373,1.92,1.3,3.63
13-Cyclohexylpentacosane,COMPASS,313,12.12,10.96,18.99
13-Cyclohexylpentacosane,COMPASS,373,2.49,2.79,3.74
DCMP,COMPASS,313,4.54,3.46,30.8
DCMP,COMPASS,373,1.67,1.87,5
